NewtonCholesky with backtrack line search.

CUTEst problem................: ARGTRIGLS
Number of variables...........: 200
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 200
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 20600000
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 124.427652
Subproblem time in seconds..............: 4.107307
Line search time in seconds.............: 0.162128
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
83      1.574792e+01     1.002000e+03     1.000000e+00     2.542531e-07   
84      1.574790e+01     1.001999e+03     1.000000e+00     2.542528e-07   
85      1.574788e+01     1.001999e+03     1.000000e+00     2.542525e-07   
86      1.574786e+01     1.001998e+03     1.000000e+00     2.542523e-07   
87      1.574785e+01     1.001998e+03     1.000000e+00     2.542520e-07   
88      1.574783e+01     1.001997e+03     1.000000e+00     2.542518e-07   
89      1.574781e+01     1.001997e+03     1.000000e+00     2.542515e-07   
90      1.574779e+01     1.001996e+03     1.000000e+00     2.542513e-07   
91      1.574778e+01     1.001996e+03     1.000000e+00     2.542510e-07   
92      1.574776e+01     1.001995e+03     1.000000e+00     2.542507e-07   
93      1.574774e+01     1.001995e+03     1.000000e+00     2.542505e-07   
94      1.574773e+01     1.001994e+03     1.000000e+00     2.542502e-07   
95      1.574771e+01     1.001994e+03     1.000000e+00     2.542500e-07   
96      1.574769e+01     1.001993e+03     1.000000e+00     2.542497e-07   
97      1.574767e+01     1.001993e+03     1.000000e+00     2.542495e-07   
98      1.574766e+01     1.001992e+03     1.000000e+00     2.542492e-07   
99      1.574764e+01     1.001991e+03     1.000000e+00     2.542489e-07   
100     1.574762e+01     1.001991e+03     1.000000e+00     2.542487e-07   
101     1.574760e+01     1.001990e+03     1.000000e+00     2.542484e-07   
102     1.574759e+01     1.001990e+03     1.000000e+00     2.542482e-07   
103     1.574757e+01     1.001989e+03     1.000000e+00     2.542479e-07   
104     1.574755e+01     1.001989e+03     1.000000e+00     2.542477e-07   
105     1.574753e+01     1.001988e+03     1.000000e+00     2.542474e-07   
106     1.574752e+01     1.001988e+03     1.000000e+00     2.542471e-07   
107     1.574750e+01     1.001987e+03     1.000000e+00     2.542469e-07   
108     1.574748e+01     1.001987e+03     1.000000e+00     2.542466e-07   
109     1.574746e+01     1.001986e+03     1.000000e+00     2.542464e-07   
110     1.574745e+01     1.001986e+03     1.000000e+00     2.542461e-07   
111     1.574743e+01     1.001985e+03     1.000000e+00     2.542459e-07   
112     1.574741e+01     1.001985e+03     1.000000e+00     2.542456e-07   
113     1.574739e+01     1.001984e+03     1.000000e+00     2.542453e-07   
114     1.574738e+01     1.001983e+03     1.000000e+00     2.542451e-07   
115     1.574736e+01     1.001983e+03     1.000000e+00     2.542448e-07   
116     1.574734e+01     1.001982e+03     1.000000e+00     2.542446e-07   
117     1.574732e+01     1.001982e+03     1.000000e+00     2.542443e-07   
118     1.574731e+01     1.001981e+03     1.000000e+00     2.542441e-07   
119     1.574729e+01     1.001981e+03     1.000000e+00     2.542438e-07   
120     1.574727e+01     1.001980e+03     1.000000e+00     2.542435e-07   
121     1.574726e+01     1.001980e+03     1.000000e+00     2.542433e-07   
122     1.574724e+01     1.001979e+03     1.000000e+00     2.542430e-07   
123     1.574722e+01     1.001979e+03     1.000000e+00     2.542428e-07   
124     1.574720e+01     1.001978e+03     1.000000e+00     2.542425e-07   
125     1.574719e+01     1.001978e+03     1.000000e+00     2.542423e-07   
126     1.574717e+01     1.001977e+03     1.000000e+00     2.542420e-07   
127     1.574715e+01     1.001977e+03     1.000000e+00     2.542417e-07   
128     1.574713e+01     1.001976e+03     1.000000e+00     2.542415e-07   
129     1.574712e+01     1.001975e+03     1.000000e+00     2.542412e-07   
130     1.574710e+01     1.001975e+03     1.000000e+00     2.542410e-07   
131     1.574708e+01     1.001974e+03     1.000000e+00     2.542407e-07   
132     1.574706e+01     1.001974e+03     1.000000e+00     2.542405e-07   
133     1.574705e+01     1.001973e+03     1.000000e+00     2.542402e-07   
134     1.574703e+01     1.001973e+03     1.000000e+00     2.542399e-07   
135     1.574701e+01     1.001972e+03     1.000000e+00     2.542397e-07   
