NewtonCholesky with backtrack line search.

CUTEst problem................: BROWNDEN
Number of variables...........: 4
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 4
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 1000
Subproblem iterations...................: 20000
Line search iterations..................: 0
Number of objective function evaluations: 1000
Number of gradient evaluations..........: 1000
Number of hessian evaluations...........: 1000
Total time in seconds...................: 0.030702
Subproblem time in seconds..............: 0.002127
Line search time in seconds.............: 0.004720
How many times subproblem failed........: 0
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
83      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
84      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
85      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
86      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
87      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
88      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
89      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
90      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
91      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
92      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
93      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
94      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
95      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
96      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
97      8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
98      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
99      8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
100     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
101     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
102     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
103     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
104     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
105     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
106     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
107     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
108     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
109     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
110     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
111     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
112     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
113     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
114     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
115     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
116     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
117     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
118     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
119     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
120     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
121     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
122     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
123     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
124     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
125     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
126     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
127     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
128     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
129     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
130     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
131     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
132     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
133     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
134     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
135     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
136     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
137     8.530708e+05     2.367969e+05     1.000000e+00     1.413155e-09   
138     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
139     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
140     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
141     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
142     8.530708e+05     2.367969e+05     1.000000e+00     1.413154e-09   
